id,type,group,name
208,5,ctrltargetZ,ay
209,5,ctrltargetZ,az
210,7,mag,x
211,7,mag,y
212,7,mag,z
213,7,stabilizer,roll
214,7,stabilizer,pitch
215,7,stabilizer,yaw
216,7,stabilizer,thrust
217,7,stabilizer,rtStab
218,3,stabilizer,intToOut
219,7,stateEstimate,x
220,7,stateEstimate,y
221,7,stateEstimate,z
222,7,stateEstimate,vx
223,7,stateEstimate,vy
224,7,stateEstimate,vz
225,7,stateEstimate,ax
226,7,stateEstimate,ay
227,7,stateEstimate,az
228,7,stateEstimate,roll
229,7,stateEstimate,pitch
230,7,stateEstimate,yaw
231,7,stateEstimate,qx
232,7,stateEstimate,qy
233,7,stateEstimate,qz
234,7,stateEstimate,qw
235,5,stateEstimateZ,x
236,5,stateEstimateZ,y
237,5,stateEstimateZ,z
238,5,stateEstimateZ,vx
239,5,stateEstimateZ,vy
240,5,stateEstimateZ,vz
241,5,stateEstimateZ,ax
242,5,stateEstimateZ,ay
243,5,stateEstimateZ,az
244,3,stateEstimateZ,quat
245,5,stateEstimateZ,rateRoll
246,5,stateEstimateZ,ratePitch
247,5,stateEstimateZ,rateYaw
248,1,sys,canfly
249,1,sys,isFlying
250,1,sys,isTumbled
251,4,sys,armed
252,4,sys,testLogParam
253,7,tdoaEngine,stRx
254,7,tdoaEngine,stEst
255,7,tdoaEngine,stTime
256,7,tdoaEngine,stFound
257,7,tdoaEngine,stCc
258,7,tdoaEngine,stHit
259,7,tdoaEngine,stMiss
260,7,tdoaEngine,cc
261,2,tdoaEngine,tof
262,7,tdoaEngine,tdoa
263,7,kalman_pred,predNX
264,7,kalman_pred,predNY
265,7,kalman_pred,measNX
266,7,kalman_pred,measNY
267,1,lighthouse,validAngles
268,7,lighthouse,rawAngle0x
269,7,lighthouse,rawAngle0y
270,7,lighthouse,rawAngle1x
271,7,lighthouse,rawAngle1y
272,7,lighthouse,angle0x
273,7,lighthouse,angle0y
274,7,lighthouse,angle1x
275,7,lighthouse,angle1y
276,7,lighthouse,angle0x_1
277,7,lighthouse,angle0y_1
278,7,lighthouse,angle1x_1
279,7,lighthouse,angle1y_1
280,7,lighthouse,angle0x_2
281,7,lighthouse,angle0y_2
282,7,lighthouse,angle1x_2
283,7,lighthouse,angle1y_2
284,7,lighthouse,angle0x_3
285,7,lighthouse,angle0y_3
286,7,lighthouse,angle1x_3
287,7,lighthouse,angle1y_3
288,7,lighthouse,rawAngle0xlh2
289,7,lighthouse,rawAngle0ylh2
290,7,lighthouse,rawAngle1xlh2
291,7,lighthouse,rawAngle1ylh2
292,7,lighthouse,angle0x_0lh2
293,7,lighthouse,angle0y_0lh2
294,7,lighthouse,angle1x_0lh2
295,7,lighthouse,angle1y_0lh2
296,2,lighthouse,width0
297,2,lighthouse,width1
298,2,lighthouse,width2
299,2,lighthouse,width3
300,1,lighthouse,comSync
301,2,lighthouse,bsAvailable
302,2,lighthouse,bsReceive
303,2,lighthouse,bsActive
304,2,lighthouse,bsCalUd
305,2,lighthouse,bsCalCon
306,1,lighthouse,status
307,7,lighthouse,posRt
308,7,lighthouse,estBs0Rt
309,7,lighthouse,estBs1Rt
310,7,lighthouse,x
311,7,lighthouse,y
312,7,lighthouse,z
313,7,lighthouse,delta
314,2,lighthouse,bsGeoVal
315,2,lighthouse,bsCalVal
316,7,lighthouse,disProb
317,7,pid_attitude,roll_outP
318,7,pid_attitude,roll_outI
319,7,pid_attitude,roll_outD
320,7,pid_attitude,roll_outFF
321,7,pid_attitude,pitch_outP
322,7,pid_attitude,pitch_outI
323,7,pid_attitude,pitch_outD
324,7,pid_attitude,pitch_outFF
325,7,pid_attitude,yaw_outP
326,7,pid_attitude,yaw_outI
327,7,pid_attitude,yaw_outD
328,7,pid_attitude,yaw_outFF
329,7,pid_rate,roll_outP
330,7,pid_rate,roll_outI
331,7,pid_rate,roll_outD
332,7,pid_rate,roll_outFF
333,7,pid_rate,pitch_outP
334,7,pid_rate,pitch_outI
335,7,pid_rate,pitch_outD
336,7,pid_rate,pitch_outFF
337,7,pid_rate,yaw_outP
338,7,pid_rate,yaw_outI
339,7,pid_rate,yaw_outD
340,7,pid_rate,yaw_outFF
341,7,ctrlRwik,cmd_thrust
342,7,ctrlRwik,cmd_roll
343,7,ctrlRwik,cmd_pitch
344,7,ctrlRwik,cmd_yaw
345,7,ctrlRwik,r_roll
346,7,ctrlRwik,r_pitch
347,7,ctrlRwik,r_yaw
348,7,ctrlRwik,accelz
349,7,ctrlRwik,zdx
350,7,ctrlRwik,zdy
351,7,ctrlRwik,zdz
352,7,ctrlRwik,angVel_x
353,7,ctrlRwik,angVel_y
354,7,ctrlRwik,angVel_z
355,7,ctrlRwik,state_x
356,7,ctrlRwik,state_y
357,7,ctrlRwik,state_z
358,7,ctrlRwik,quat_x
359,7,ctrlRwik,quat_y
360,7,ctrlRwik,quat_z
361,7,ctrlRwik,quat_w
362,7,ctrlRwik,ref_x
363,7,ctrlRwik,ref_y
364,7,ctrlRwik,ref_z
365,7,ctrlRwik,i_roll
366,7,ctrlRwik,i_pitch
367,7,ctrlRwik,i_yaw
368,7,ctrlRwik,cmd_z_acc
369,7,ctrlMel,cmd_thrust
370,7,ctrlMel,cmd_roll
371,7,ctrlMel,cmd_pitch
372,7,ctrlMel,cmd_yaw
373,7,ctrlMel,r_roll
374,7,ctrlMel,r_pitch
375,7,ctrlMel,r_yaw
376,7,ctrlMel,accelz
377,7,ctrlMel,zdx
378,7,ctrlMel,zdy
379,7,ctrlMel,zdz
380,7,ctrlMel,i_err_x
381,7,ctrlMel,i_err_y
382,7,ctrlMel,i_err_z
383,7,ctrlrate,omegaErr_x
384,7,ctrlrate,omegaErr_y
385,7,ctrlrate,omegaErr_z
386,7,ctrlrate,omegaDot_x
387,7,ctrlrate,omegaDot_y
388,7,ctrlrate,omegaDot_z
389,7,ctrlrate,last_err_x
390,7,ctrlrate,last_err_y
391,7,ctrlrate,last_err_z
392,7,posCtrlIndi,posRef_x
393,7,posCtrlIndi,posRef_y
394,7,posCtrlIndi,posRef_z
395,7,posCtrlIndi,velS_x
396,7,posCtrlIndi,velS_y
397,7,posCtrlIndi,velS_z
398,7,posCtrlIndi,velRef_x
399,7,posCtrlIndi,velRef_y
400,7,posCtrlIndi,velRef_z
401,7,posCtrlIndi,angS_roll
402,7,posCtrlIndi,angS_pitch
403,7,posCtrlIndi,angS_yaw
404,7,posCtrlIndi,angF_roll
405,7,posCtrlIndi,angF_pitch
406,7,posCtrlIndi,angF_yaw
407,7,posCtrlIndi,accRef_x
408,7,posCtrlIndi,accRef_y
409,7,posCtrlIndi,accRef_z
410,7,posCtrlIndi,accS_x
411,7,posCtrlIndi,accS_y
412,7,posCtrlIndi,accS_z
413,7,posCtrlIndi,accF_x
414,7,posCtrlIndi,accF_y
415,7,posCtrlIndi,accF_z
416,7,posCtrlIndi,accFT_x
417,7,posCtrlIndi,accFT_y
418,7,posCtrlIndi,accFT_z
419,7,posCtrlIndi,accErr_x
420,7,posCtrlIndi,accErr_y
421,7,posCtrlIndi,accErr_z
422,7,posCtrlIndi,phi_tilde
423,7,posCtrlIndi,theta_tilde
424,7,posCtrlIndi,T_tilde
425,7,posCtrlIndi,T_inner
426,7,posCtrlIndi,T_inner_f
427,7,posCtrlIndi,T_incremented
428,7,posCtrlIndi,cmd_phi
429,7,posCtrlIndi,cmd_theta
430,7,posCtl,targetVX
431,7,posCtl,targetVY
432,7,posCtl,targetVZ
433,7,posCtl,targetX
434,7,posCtl,targetY
435,7,posCtl,targetZ
436,7,posCtl,bodyVX
437,7,posCtl,bodyVY
438,7,posCtl,bodyX
439,7,posCtl,bodyY
440,7,posCtl,Xp
441,7,posCtl,Xi
442,7,posCtl,Xd
443,7,posCtl,Xff
444,7,posCtl,Yp
445,7,posCtl,Yi
446,7,posCtl,Yd
447,7,posCtl,Yff
448,7,posCtl,Zp
449,7,posCtl,Zi
450,7,posCtl,Zd
451,7,posCtl,Zff
452,7,posCtl,VXp
453,7,posCtl,VXi
454,7,posCtl,VXd
455,7,posCtl,VXff
456,7,posCtl,VYp
457,7,posCtl,VYi
458,7,posCtl,VYd
459,7,posCtl,VYff
460,7,posCtl,VZp
461,7,posCtl,VZi
462,7,posCtl,VZd
463,7,posCtl,VZff
464,7,kalman,stateX
465,7,kalman,stateY
466,7,kalman,stateZ
467,7,kalman,statePX
468,7,kalman,statePY
469,7,kalman,statePZ
470,7,kalman,stateD0
471,7,kalman,stateD1
472,7,kalman,stateD2
473,7,kalman,varX
474,7,kalman,varY
475,7,kalman,varZ
476,7,kalman,varPX
477,7,kalman,varPY
478,7,kalman,varPZ
479,7,kalman,varD0
480,7,kalman,varD1
481,7,kalman,varD2
482,7,kalman,q0
483,7,kalman,q1
484,7,kalman,q2
485,7,kalman,q3
486,7,kalman,rtUpdate
487,7,kalman,rtPred
488,7,kalman,rtFinal
489,6,outlierf,lhWin
490,7,estimator,rtApnd
491,7,estimator,rtRej
492,7,posEstAlt,estimatedZ
493,7,posEstAlt,estVZ
494,7,posEstAlt,velocityZ
495,1,DTR_P2P,rx_state
496,1,DTR_P2P,tx_state
